country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Brazil,0.341,0.344,0.344,0.349,0.349,0.349,0.351,0.371,0.371,0.371,0.422,0.463,0.463,0.501,0.504,0.507,0.507,0.51,0.51,0.513,0.559,0.552,0.552,0.564,0.566,0.566,0.566,0.606,0.606,0.609,0.609,0.609,0.609,0.628,0.628,0.699,0.699,0.699,0.687,0.697,0.697,0.55,0.55,0.55
Bulgaria,0.67,0.659,0.659,0.659,0.659,0.659,0.674,0.674,0.674,0.674,0.68,0.691,0.691,0.691,0.697,0.733,0.741,0.741,0.741,0.751,0.757,0.757,0.766,0.766,0.766,0.773,0.793,0.793,0.793,0.793,0.779,0.791,0.791,0.791,0.821,0.821,0.832,0.82,0.864,0.791,0.791,0.828,0.816,0.779
Burkina Faso,0.472,0.472,0.472,0.42,0.42,0.385,0.395,0.395,0.427,0.427,0.435,0.435,0.435,0.446,0.491,0.438,0.459,0.481,0.481,0.481,0.473,0.473,0.504,0.508,0.508,0.508,0.508,0.516,0.516,0.516,0.527,0.527,0.524,0.533,0.533,0.515,0.515,0.508,0.487,0.495,0.484,0.492,0.514,0.552
Burundi,0.17,0.17,0.217,0.217,0.217,0.217,0.223,0.246,0.246,0.275,0.275,0.275,0.275,0.275,0.275,0.277,0.277,0.313,0.402,0.388,0.388,0.388,0.388,0.399,0.399,0.42,0.42,0.433,0.433,0.433,0.477,0.465,0.465,0.465,0.467,0.466,0.463,0.463,0.476,0.508,0.49,0.426,0.457,0.503
Cambodia,0.27,0.447,0.447,0.447,0.447,0.256,0.233,0.233,0.239,0.239,0.239,0.239,0.24,0.24,0.24,0.24,0.24,0.281,0.287,0.382,0.382,0.385,0.385,0.401,0.401,0.401,0.401,0.401,0.408,0.408,0.408,0.408,0.421,0.419,0.426,0.426,0.426,0.426,0.481,0.481,0.481,0.481,0.45,0.405
Cameroon,0.222,0.222,0.222,0.233,0.233,0.233,0.238,0.238,0.243,0.25,0.25,0.25,0.25,0.255,0.255,0.355,0.355,0.36,0.36,0.363,0.363,0.363,0.345,0.345,0.345,0.408,0.408,0.418,0.418,0.418,0.418,0.418,0.429,0.432,0.432,0.453,0.457,0.457,0.465,0.465,0.465,0.473,0.473,0.436
Canada,0.579,0.583,0.583,0.583,0.583,0.601,0.601,0.638,0.638,0.689,0.689,0.689,0.689,0.677,0.677,0.677,0.684,0.684,0.75,0.75,0.75,0.75,0.787,0.787,0.787,0.796,0.796,0.796,0.796,0.787,0.787,0.787,0.787,0.796,0.803,0.803,0.799,0.799,0.739,0.739,0.827,0.813,0.813,0.813
Central African Republic,0.311,0.311,0.311,0.311,0.311,0.353,0.38,0.38,0.38,0.38,0.38,0.385,0.39,0.39,0.39,0.39,0.39,0.41,0.445,0.445,0.445,0.445,0.445,0.448,0.448,0.448,0.448,0.448,0.448,0.45,0.473,0.473,0.473,0.473,0.473,0.473,0.473,0.476,0.499,0.513,0.594,0.562,0.525,0.584
Chad,0.187,0.187,0.187,0.187,0.187,0.187,0.187,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.172,0.184,0.316,0.324,0.327,0.327,0.327,0.369,0.323,0.323,0.323,0.339,0.339,0.379,0.379,0.385,0.385,0.388,0.373,0.363,0.363,0.343,0.381,0.385,0.415,0.443,0.443,0.451,0.443,0.443
Chile,0.206,0.208,0.208,0.208,0.208,0.208,0.208,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.21,0.362,0.362,0.362,0.473,0.473,0.473,0.473,0.404,0.413,0.413,0.672,0.675,0.679,0.679,0.679,0.693,0.693,0.693,0.699,0.687,0.666,0.666,0.666,0.654,0.697,0.658,0.658,0.658,0.651
