Rank,AllPos,AllNeg,TopPos,TopNeg,Movie,ReleaseDate,ReleaseMonth,Revenues,year
658,42,122,8,21,Wrath of the Titans (Warner Bros.),3/30/12,Mar,83670083.00,2012
659,18,6,3,1,Under Siege (Warner Bros.),10/9/92,Oct,83563456.00,1992
660,69,127,7,25,Battle: Los Angeles (Sony / Columbia),3/11/11,Mar,83552429.00,2011
661,40,73,6,16,Immortals (Relativity Media),11/11/11,Nov,83504017.00,2011
662,73,1,10,1,Apocalypse Now (United Artists),8/15/79,Aug,83471114.00,1979
663,52,1,5,0,Airplane! (Paramount),7/2/80,Jul,83453906.00,1980
664,22,8,0,6,Patriot Games (Paramount),6/5/92,Jun,83351979.00,1992
665,119,74,23,17,Valkyrie (MGM / United Artists),12/25/08,Dec,83077158.00,2008
666,203,31,40,4,Brokeback Mountain (Focus),12/9/05,Dec,83043252.00,2005
667,27,16,5,4,Disclosure (Warner Bros.),12/9/94,Dec,83015156.00,1994
668,47,3,5,3,Die Hard (Fox),7/15/88,Jul,83008695.00,1988
669,112,31,25,11,Charlotte's Web (2006) (Paramount),12/15/06,Dec,82985412.00,2006
670,26,137,5,36,Monster-in-Law (New Line),5/13/05,May,82931013.00,2005
671,13,101,3,29,Are We There Yet? (Sony / Columbia),1/21/05,Jan,82674758.00,2005
672,17,26,5,3,Days of Thunder (Paramount),6/27/90,Jun,82670017.00,1990
673,203,25,38,4,The Descendants (Fox Searchlight),11/16/11,Nov,82629097.00,2011
674,62,91,9,24,Freddy Vs. Jason (New Line),8/15/03,Aug,82622404.00,2003
675,20,7,6,1,Mr. Holland's Opus (Disney),12/29/95,Dec,82582528.00,1995
676,6,86,3,25,Cheaper by the Dozen 2 (Fox),12/21/05,Dec,82571249.00,2005
677,37,9,7,1,Bram Stoker's Dracula (Columbia),11/13/92,Nov,82522851.00,1992
678,19,4,4,0,Fried Green Tomatoes (Universal),12/27/91,Dec,82418729.00,1991
679,80,56,14,14,Blade II (New Line),3/22/02,Mar,82348173.00,2002
680,138,57,27,11,Beowulf (Paramount),11/16/07,Nov,82280066.00,2007
681,121,23,23,4,Bridge to Terabithia (Disney),2/16/07,Feb,82272124.00,2007
682,14,19,2,3,Star Trek: The Motion Picture (Paramount),12/7/79,Dec,82258086.00,1979
683,31,109,7,27,The Pink Panther (2006) (Sony / Columbia),2/10/06,Feb,82226975.00,2006
684,13,2,1,0,The Goodbye Girl (Warner Bros.),11/30/77,Nov,82000470.00,1977
685,10,9,0,0,Jaws 2 (Universal),6/16/78,Jun,81766987.00,1978
686,26,4,3,1,Heaven Can Wait (1978) (Paramount),6/28/78,Jun,81640699.00,1978
687,106,41,19,15,Eight Below (Disney),2/17/06,Feb,81612111.00,2006
688,34,4,3,1,M.A.S.H. (Fox),1/25/70,Jan,81600139.00,1970
689,155,25,30,4,Unstoppable (2010) (Fox),11/12/10,Nov,81562942.00,2010
690,39,34,10,11,Payback (1999) (Paramount),2/5/99,Feb,81526779.00,1999
691,105,22,25,7,The Talented Mr. Ripley (Paramount),12/25/99,Dec,81298221.00,1999
692,176,16,39,1,School of Rock (Paramount),10/3/03,Oct,81261961.00,2003
