Service,Initial Text,Tracking Number,Item Order,Pilot Round 1,Status of Item ,Other,Changes in Item Order,Pilot Round 2,Status of Item,Other,Changes in Item Order,Final Text,Final Block,Display logic?,Incoming,Outgoing,Skip Logic?,Incoming,Outgoing,Conditional Branching?,Incoming,Outgoing,Additional
ser,itext,tnum,iord,pr1,pr1_s,pr1_o,pr1_c,pr2,pr2_s,pr2_o,pr2_c,ftext,fblock,disp,disp_inc,disp_out,skip,skip_inc,skip_out,cbra,cbra_inc,cbra_out,add
