"yday","min","max","mean"
313,40.28,52.7,46.6700401544888
314,38.84,55.58,47.4662658795913
315,40.64,54.68,47.3108491472221
316,40.82,53.78,46.599408867603
317,43.16,55.94,49.3021531997414
318,41.6,56.4,49.3668584417411
319,41.2,56.4,48.7045115135256
320,40.46,55.4,48.4854981922685
321,41,54.32,47.4026670578432
322,41,52.34,45.6054597424537
323,39.2,52.16,45.6645510892303
324,38.6,48.8,43.1104026921546
325,33.6,51,41.9522870577568
326,33.2,48.4,39.9745487375505
327,33.08,48.38,40.184902331143
328,37.04,48.2,42.419561361174
329,37.4,50.36,42.6558304290352
330,35.8,49,42.8667580925217
331,33,48.4,39.8405347497169
332,33.4,48.8,40.4815064242246
333,36,47.6,41.845032662862
334,37.04,49.82,43.7758087928291
335,40.1,50,44.4083755603255
336,39.2,51.26,44.8722365530978
337,35.96,48.2,42.1832937548693
338,35.78,48.2,42.3495829711014
339,38.6,48.2,43.3465300622695
340,34.4,46.2,40.4412161513882
341,35.8,46.8,41.1761647815608
342,36,48.6,42.4509435974653
343,35.8,47.4,41.4879600847878
344,37.2,47.8,42.178631358891
345,39.4,50,43.8802116122294
346,37.8,50.2,44.0494777117907
347,35.2,48.2,41.6652211941971
348,34.8,47.2,40.3877430831959
349,34.7,46.94,40.8115220404312
350,33.44,42.98,38.250971246961
351,32.36,43.7,37.7112595836563
352,32.36,44.06,38.5706701814206
353,34.88,44.06,39.4618072244207
354,35.78,48.74,41.5828823127601
355,36.68,49.28,42.3122201295132
356,33.44,46.94,40.9493993677124
357,35.96,48.2,42.0967028319148
358,36.68,47.3,41.2296446806065
359,34.8,45.6,40.0643427230047
360,35.78,47.66,40.5732388969366
361,36.5,46.22,41.8289784038919
362,37.22,48.56,42.9041951822537
363,36.32,45.32,40.7216996557349
364,34.16,46.22,40.372643697636
365,32,42.4,37.0088442519524
366,36.8,44.6,40.7395031055901
