Country,Beverage Types,2016,2015,2014,2013,2012,2011,2010
Afghanistan, All types,,0.02,0.03,0.03,0.04,0.04,0.03
Afghanistan, Beer,,0.01,0.01,0.01,0.01,0.01,0.01
Afghanistan, Wine,,0,0,0,0,0,0
Afghanistan, Spirits,,0.02,0.02,0.02,0.03,0.03,0.02
Afghanistan, Other alcoholic beverages,,0,0,0,0,0,0
Albania, All types,5.07,4.77,4.81,5.06,5.43,5.65,5.53
Albania, Beer,1.74,1.57,1.58,1.82,1.81,1.88,1.72
Albania, Wine,1.34,1.17,1.12,1.06,1.3,1.27,1.3
Albania, Spirits,1.9,1.94,2.02,2.09,2.22,2.4,2.39
Albania, Other alcoholic beverages,0.09,0.08,0.09,0.09,0.1,0.1,0.12
Algeria, All types,0.56,0.56,0.56,0.54,0.49,0.44,0.39
Algeria, Beer,0.32,0.31,0.28,0.26,0.23,0.21,0.18
Algeria, Wine,0.14,0.14,0.18,0.18,0.18,0.17,0.16
Algeria, Spirits,0.1,0.1,0.1,0.1,0.07,0.06,0.04
Algeria, Other alcoholic beverages,0,0,0,0,0,0,0
Andorra, All types,10.06,9.97,9.95,9.78,10.06,10.31,10.64
Andorra, Beer,3.43,3.33,3.33,3.11,3.26,3.25,3.54
Andorra, Wine,4.22,4.32,4.28,4.33,4.46,4.55,4.38
Andorra, Spirits,2.41,2.32,2.34,2.35,2.35,2.51,2.73
Andorra, Other alcoholic beverages,0,0,0,0,0,0,0
Angola, All types,4.7,5.65,9,8.02,8.14,7.86,7.67
Angola, Beer,3.3,3.66,5.06,5.02,5.17,4.98,4.75
Angola, Wine,0.83,1.24,2.65,1.93,1.95,1.85,1.83
Angola, Spirits,0.53,0.7,1.21,1.02,0.98,0.98,1.02
Angola, Other alcoholic beverages,0.04,0.05,0.07,0.06,0.04,0.04,0.08
Antigua and Barbuda, All types,,8.45,8.45,8.5,8.3,7.91,7.81
Antigua and Barbuda, Beer,,2.79,2.7,2.74,2.78,2.84,2.87
Antigua and Barbuda, Wine,,1.55,1.81,1.66,1.68,1.51,1.42
Antigua and Barbuda, Spirits,,3.84,3.66,3.81,3.54,3.27,3.24
Antigua and Barbuda, Other alcoholic beverages,,0.27,0.29,0.28,0.3,0.29,0.28
Argentina, All types,,8.42,7.93,8.2,8.35,8.11,8.15
Argentina, Beer,,3.36,3.36,3.32,3.21,3.15,3.32
Argentina, Wine,,3.38,3.22,3.48,4.04,4.05,3.91
Argentina, Spirits,,0.81,0.56,0.52,0.25,0.24,0.45
Argentina, Other alcoholic beverages,,0.87,0.8,0.89,0.85,0.68,0.47
Armenia, All types,3.77,3.84,3.97,3.72,3.84,4.06,4.23
Armenia, Beer,0.4,0.46,0.51,0.42,0.25,0.33,0.39
Armenia, Wine,0.26,0.2,0.13,0.13,0.31,0.39,0.3
Armenia, Spirits,3.1,3.16,3.32,3.17,3.27,3.33,3.52
Armenia, Other alcoholic beverages,0,0,0.01,0.01,0.01,0.01,0.01
Australia, All types,9.71,9.52,9.71,9.87,10.03,10.3,10.52
Australia, Beer,3.87,3.76,4.01,4.04,4.14,4.31,4.51
Australia, Wine,3.64,3.66,3.64,3.7,3.78,3.79,3.87
Australia, Spirits,1.25,1.22,1.23,1.29,1.26,1.34,1.3
Australia, Other alcoholic beverages,0.95,0.88,0.83,0.84,0.85,0.86,0.84
Austria, All types,,11.4,12.2,11.6,12.1,11.9,12.1
Austria, Beer,,6.1,6.3,6,6.3,6.1,6.1
Austria, Wine,,3.6,4.2,3.9,4.1,4.1,4.3
Austria, Spirits,,1.7,1.7,1.7,1.7,1.7,1.7
Austria, Other alcoholic beverages,,,0,0,0,0,0
Azerbaijan, All types,0.39,0.84,1.95,2.04,1.98,1.94,1.9
Azerbaijan, Beer,0.24,0.3,0.19,0.31,0.29,0.28,0.29
Azerbaijan, Wine,0.14,0.13,0.15,0.15,0.15,0.15,0.15
Azerbaijan, Spirits,0,0.4,1.61,1.57,1.53,1.5,1.46
Azerbaijan, Other alcoholic beverages,0.01,0,0.01,0.01,0.01,0.01,0.01
Bahamas, All types,,8.65,8.62,8.55,8.86,8.94,8.75
Bahamas, Beer,,3.39,3.53,3.47,3.41,3.34,3.23
Bahamas, Wine,,1.44,1.31,1.35,1.61,1.65,1.54
Bahamas, Spirits,,3.56,3.51,3.46,3.56,3.68,3.69
Bahamas, Other alcoholic beverages,,0.26,0.27,0.27,0.27,0.27,0.29
Bahrain, All types,2.08,2.16,2.12,2.12,2.02,1.86,2.1
Bahrain, Beer,0.39,0.39,0.38,0.36,0.35,0.34,0.45
Bahrain, Wine,0.13,0.13,0.12,0.11,0.11,0.12,0.11
Bahrain, Spirits,0.94,1,1.04,1.14,1.22,1.19,1.34
Bahrain, Other alcoholic beverages,0.61,0.64,0.58,0.51,0.34,0.22,0.2
Bangladesh, All types,,0.01,0.01,0.01,0.01,0.01,0.01
Bangladesh, Beer,,0,0,0,0,0,0
Bangladesh, Wine,,0,0,0,0,0,0
Bangladesh, Spirits,,0,0,0,0,0,0
Bangladesh, Other alcoholic beverages,,0,0,0,0,0,0
Barbados, All types,,9.15,8.97,8.88,8.79,8.49,8.45
Barbados, Beer,,3.44,3.48,3.46,3.44,3.37,3.33
Barbados, Wine,,0.96,0.83,0.89,0.87,0.79,0.9
Barbados, Spirits,,4.58,4.47,4.35,4.28,4.13,4.02
Barbados, Other alcoholic beverages,,0.17,0.18,0.19,0.2,0.21,0.21
Belarus, All types,10.05,10.09,11.71,12.37,14.14,15.05,13.88
Belarus, Beer,2.29,2.29,2.48,2.55,2.53,2.6,2.47
Belarus, Wine,0.23,0.21,0.24,0.24,0.24,0.23,0.2
Belarus, Spirits,4.92,4.62,5.21,5.57,7.1,6.9,5.89
Belarus, Other alcoholic beverages,2.61,2.97,3.77,4.01,4.27,5.33,5.31
